Date de la mesure,Province,Nature de la mesure,Description de la mesure,Pour en savoir plus
16-Nov-20,NUNAVUT,Sanitaire ,Prolongement de l’urgence sanitaire.,"<a href=\""https://www.gov.nu.ca/fr/sante/news/le-nunavut-prolonge-lurgence-de-sante-publique-5 \""> Gouvernement du Nunavut</a>"
26-Nov-20,NUNAVUT,Sanitaire ,Prolongement de l’urgence sanitaire.,"<a href=\""https://www.gov.nu.ca/fr/sante/news/le-nunavut-prolonge-lurgence-de-sante-publique-5\""> Gouvernement du Nunavut</a>"
27-Nov-20,NUNAVUT,Économique,"Indication sur les services qui sont en cours et les restrictions qui s'appliquent.
",À confirmer
30-Nov-20,NUNAVUT,Économique - sanitaire - sécuritaire,Directives relatives aux demandes d’entrée dans le territoire concernant les projets de construction ou de voyage.,"<a href=\""https://www.gov.nu.ca/fr/services-communautaires-et-gouvernementaux/news/covid-19-mise-jour-du-ministere-des-services \""> Gouvernement du Nunavut</a>"
04-Dec-20,NUNAVUT,Éducative - financière,Déploiement d'iPad avec accès à Internet pour les élèves et le personnel enseignant des 11e et 12e années pour faciliter l'apprentissage en ligne. ,"<a href=\""https://www.gov.nu.ca/fr/education/news/covid-19-mise-jour-des-services-du-ministere-de-leducation\""> Gouvernement du Nunavut</a>"
07-Dec-20,NUNAVUT,Économique,Directives concernant les modifications qui portent sur les projets de construction ou de voyage dans le territoire.,"<a href=\""https://www.gov.nu.ca/fr/services-communautaires-et-gouvernementaux/news/covid-19-mise-jour-du-ministere-des-services \""> Gouvernement du Nunavut</a>"
10-Dec-20,NUNAVUT,Sanitaire ,Prolongement de l’état d’urgence.,"<a href=\""https://www.gov.nu.ca/fr/sante/news/le-nunavut-prolonge-lurgence-de-sante-publique-6\""> Gouvernement du Nunavut</a>"
12-Mar-20,TERRE-NEUVE-ET-LABRADOR,Santitaire,Recommandations de restrictions de visites pour les gens ayant voyagé en dehors de la province dans les 14 derniers jours ou présentant des symptômes s'assimilant à la Covid-19. ,"<a href=\""https://www.gov.nl.ca/releases/2020/health/0312n02/ \""> Gouvernement de Terre-Neuve-et-Labrador</a>"
13-Mar-20,TERRE-NEUVE-ET-LABRADOR,Santitaire,Fermeture temporaire des piscines et les centres de formation. ,"<a href=\""https://www.gov.nl.ca/releases/2020/cssd/0313n05/ \""> Gouvernement de Terre-Neuve-et-Labrador</a>"
15-Mar-20,TERRE-NEUVE-ET-LABRADOR,Santitaire,Restrictions COVID-19 imposées aux établissements des autorités sanitaires régionales.,"<a href=\""https://www.gov.nl.ca/releases/2020/health/0315n03/ \""> Gouvernement de Terre-Neuve-et-Labrador</a>"
24-Mar-20,TERRE-NEUVE-ET-LABRADOR,Économique (soutien aux familles),Soutien de plus de 120 millions de dollars accordé aux organisations communautaires pour supporter les familles et les communautés. ,"<a href=\""https://www.gov.nl.ca/releases/2020/exec/0324n04/\""> Gouvernement de Terre-Neuve-et-Labrador</a>"
25-Mar-20,TERRE-NEUVE-ET-LABRADOR,Économique (soutien aux familles),Plan de soutien aux familles expérimentant de l'insécurité alimentaire due à la Covid-19. ,"<a href=\""https://www.gov.nl.ca/releases/2020/exec/0325n04/ \""> Gouvernement de Terre-Neuve-et-Labrador</a>"
02-Apr-20,TERRE-NEUVE-ET-LABRADOR,Éducative,Annulation des examens officiels pour l'année scolaire. ," <a href=\""https://www.gov.nl.ca/releases/2020/exec/0402n02/\""> Gouvernement de Terre-Neuve-et-Labrador</a>"
